Mon, 07 Feb 2022 18:34:32 GMT | INFO | mobile.log | Successfully scraped 1050 till now | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Start scrapping page 103....... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 1/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 2/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 3/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 4/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 5/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 6/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 7/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 8/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 9/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:34 GMT | INFO | mobile.log | Scraping item 10/10 of page 103..... | 
Mon, 07 Feb 2022 18:34:37 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 103 | 
Mon, 07 Feb 2022 18:34:37 GMT | INFO | mobile.log | Successfully scraped 1060 till now | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Start scrapping page 104....... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 1/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 2/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 3/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 4/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 5/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 6/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 7/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 8/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 9/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:38 GMT | INFO | mobile.log | Scraping item 10/10 of page 104..... | 
Mon, 07 Feb 2022 18:34:42 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 104 | 
Mon, 07 Feb 2022 18:34:42 GMT | INFO | mobile.log | Successfully scraped 1070 till now | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Start scrapping page 105....... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 1/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 2/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 3/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 4/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 5/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 6/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 7/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 8/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 9/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:43 GMT | INFO | mobile.log | Scraping item 10/10 of page 105..... | 
Mon, 07 Feb 2022 18:34:46 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 105 | 
Mon, 07 Feb 2022 18:34:46 GMT | INFO | mobile.log | Successfully scraped 1080 till now | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Start scrapping page 106....... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 1/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 2/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 3/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 4/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 5/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 6/10 of page 106..... | 
Mon, 07 Feb 2022 18:34:47 GMT | INFO | mobile.log | Scraping item 7/10 of page 106..... | 
